cluster_id,algorithm,suggested_name,manual_name,cluster_quality,route_policy,notes
lab-cluster-111,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-114,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-124,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-131,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-132,bm25_token_overlap_baseline,signal_only_risk_review_risk_promo_referral,,,,
lab-cluster-149,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-153,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-174,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-185,bm25_token_overlap_baseline,signal_only_risk_review_referral_or_invite_link,,,,
lab-cluster-189,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-19,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-194,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-195,bm25_token_overlap_baseline,signal_only_risk_review_risk_promo_referral,,,,
lab-cluster-2,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-203,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-204,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-205,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-206,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-207,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-210,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-212,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-216,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-217,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-219,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-221,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-222,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-223,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-224,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
lab-cluster-228,bm25_token_overlap_baseline,no_material_low_value_chatter,,,,
